index,x,y,z,Date,cluster,Person
MSS123,2.201444,7.2269635,10.083347,2005,1,Manmohan Singh
MSS124,2.074048,7.197641,10.055002,2005,1,Manmohan Singh
MSS125,2.2608266,8.567334,10.393046,2005,2,Manmohan Singh
MSS126,1.8993729,7.7874193,8.4031105,2005,1,Manmohan Singh
MSS127,2.225184,9.518679,8.459811,2005,0,Manmohan Singh
MSS128,1.9234037,7.521673,10.138579,2005,1,Manmohan Singh
MSS129,1.1807593,8.675904,10.030876,2005,2,Manmohan Singh
MSS132,2.0355682,8.3756275,6.961728,2005,2,Manmohan Singh
MSS133,2.6401083,10.055359,9.488974,2005,0,Manmohan Singh
MSS134,3.513695,9.103413,8.938524,2005,4,Manmohan Singh
MSS135,1.8729321,10.075818,8.58288,2005,0,Manmohan Singh
MSS136,2.4301054,9.797604,9.072914,2005,0,Manmohan Singh
MSS137,2.6446753,9.608476,9.736904,2005,0,Manmohan Singh
MSS138,2.325219,7.3620706,10.078505,2005,1,Manmohan Singh
MSS139,0.6315847,7.5637093,8.3360815,2005,1,Manmohan Singh
MSS140,0.82500935,7.4478216,8.745374,2005,1,Manmohan Singh
MSS141,2.1248116,7.075585,9.7407055,2005,1,Manmohan Singh
MSS142,3.895122,10.507057,8.41306,2005,3,Manmohan Singh
MSS143,2.2572947,10.266648,8.882595,2005,0,Manmohan Singh
MSS144,4.1833816,9.79592,8.543199,2005,3,Manmohan Singh
MSS145,2.653748,9.951449,8.598531,2005,0,Manmohan Singh
MSS146,2.5111933,7.6459255,10.119569,2005,1,Manmohan Singh
MSS147,3.2262897,9.898882,8.597773,2005,3,Manmohan Singh
MSS148,3.400238,10.065105,7.6971807,2005,3,Manmohan Singh
MSS149,3.6434863,10.617886,8.198969,2005,3,Manmohan Singh
MSS150,3.5619993,10.282402,8.233138,2005,3,Manmohan Singh
MSS151,3.598519,10.583752,7.935388,2005,3,Manmohan Singh
MSS152,0.8340059,8.749728,7.992683,2005,2,Manmohan Singh
MSS153,3.9661365,10.454756,7.046683,2005,3,Manmohan Singh
MSS154,2.50671,7.613266,10.697666,2005,1,Manmohan Singh
MSS155,2.4705439,9.652455,10.575727,2005,0,Manmohan Singh
MSS156,1.5110939,7.768676,9.857397,2005,1,Manmohan Singh
MSS157,0.999557,9.583142,9.955249,2005,0,Manmohan Singh
MSS158,2.6923988,9.819113,8.1586895,2005,0,Manmohan Singh
MSS159,2.6144183,9.912853,8.208835,2005,0,Manmohan Singh
MSS160,2.8962245,7.2112346,9.227897,2005,1,Manmohan Singh
MSS161,2.1899872,8.260254,8.435812,2005,2,Manmohan Singh
MSS162,1.3623629,8.578486,9.966135,2005,2,Manmohan Singh
MSS163,1.4129244,8.052969,8.8820715,2005,1,Manmohan Singh
MSS164,1.2637559,8.628014,8.956181,2005,2,Manmohan Singh
MSS165,2.7967677,7.7852983,9.629498,2005,1,Manmohan Singh
MSS166,2.3612561,7.9743204,10.459542,2005,1,Manmohan Singh
MSS167,0.9526407,8.918929,9.634508,2005,2,Manmohan Singh
MSS168,2.426612,7.560648,10.759807,2005,1,Manmohan Singh
MSS169,1.8115277,7.3221006,9.93886,2005,1,Manmohan Singh
MSS170,1.7019036,7.529722,9.717165,2005,1,Manmohan Singh
MSS171,3.5304246,8.8539,7.367762,2005,4,Manmohan Singh
MSS172,2.0385792,10.504805,9.336093,2005,0,Manmohan Singh
MSS173,2.3290126,10.538906,9.386677,2005,0,Manmohan Singh
MSS174,3.867341,9.154349,7.952082,2005,3,Manmohan Singh
MSS175,3.5541174,8.7800865,7.5768948,2005,4,Manmohan Singh
MSS176,1.9412194,7.293205,9.865697,2005,1,Manmohan Singh
MSS177,1.8167033,7.0543985,10.0303335,2005,1,Manmohan Singh
MSS178,1.9979967,6.770393,9.849785,2005,1,Manmohan Singh
MSS179,0.9010291,7.4358416,9.886197,2005,1,Manmohan Singh
MSS180,2.290224,7.8280764,10.453099,2005,1,Manmohan Singh
MSS182,1.5009929,8.151601,9.589956,2005,2,Manmohan Singh
MSS183,3.071726,8.65142,10.39262,2005,4,Manmohan Singh
MSS184,3.0073128,7.1821675,9.001113,2005,1,Manmohan Singh
MSS185,1.9721788,9.210623,10.76266,2005,2,Manmohan Singh
MSS186,3.2963529,10.467057,8.159962,2005,3,Manmohan Singh
MSS187,3.698653,10.484726,7.9577293,2005,3,Manmohan Singh
MSS188,3.578518,10.456521,7.8705626,2005,3,Manmohan Singh
MSS189,1.8994393,6.909246,9.717437,2005,1,Manmohan Singh
MSS190,1.7876661,9.877568,9.646013,2005,0,Manmohan Singh
MSS191,2.5884852,8.284486,10.531486,2005,4,Manmohan Singh
MSS192,2.8478274,9.089264,6.8180814,2005,4,Manmohan Singh
MSS193,3.911738,10.140082,7.5292654,2005,3,Manmohan Singh
MSS194,3.9685407,8.368105,8.998349,2005,4,Manmohan Singh
MSS195,1.2338722,8.300305,8.743731,2005,2,Manmohan Singh
MSS196,2.5818179,8.534587,8.06149,2005,4,Manmohan Singh
MSS197,3.0936122,7.5803847,8.900516,2005,1,Manmohan Singh
MSS198,2.2803824,7.3369446,9.039597,2005,1,Manmohan Singh
MSS199,1.7547424,7.00718,9.231528,2005,1,Manmohan Singh
MSS200,0.81556857,7.9661365,8.331385,2005,1,Manmohan Singh
MSS201,3.381473,8.51259,8.423396,2005,4,Manmohan Singh
MSS202,1.7541143,9.408584,10.424808,2005,0,Manmohan Singh
MSS203,3.281935,7.8197374,9.234854,2005,4,Manmohan Singh
MSS204,1.750393,6.936532,10.4405365,2005,1,Manmohan Singh
MSS205,1.2334018,6.9023256,9.713702,2005,1,Manmohan Singh
MSS206,1.7788522,7.15313,9.476811,2005,1,Manmohan Singh
MSS207,1.8705093,7.1584888,9.326462,2005,1,Manmohan Singh
MSS208,0.83986676,7.442658,8.440795,2005,1,Manmohan Singh
MSS209,2.5158556,9.826058,8.660885,2005,0,Manmohan Singh
MSS210,1.2305692,9.652352,8.515831,2005,0,Manmohan Singh
MSS211,1.2713169,10.119186,8.673912,2005,0,Manmohan Singh
MSS212,1.7090966,9.040243,10.344867,2005,2,Manmohan Singh
MSS213,3.0469537,9.1347065,7.335227,2005,4,Manmohan Singh
MSS214,2.6933036,8.624286,10.607399,2005,4,Manmohan Singh
MSS215,1.3968959,7.407977,9.912227,2005,1,Manmohan Singh
MSS216,2.4666157,9.946233,7.840499,2005,0,Manmohan Singh
MSS217,2.7222128,9.993072,7.5462456,2005,0,Manmohan Singh
MSS218,1.8989656,7.8491554,8.190376,2005,1,Manmohan Singh
MSS219,2.9372838,10.061735,7.4146447,2005,3,Manmohan Singh
MSS220,2.386829,8.042134,10.298157,2005,1,Manmohan Singh
MSS221,2.5434551,7.4675136,10.016238,2005,1,Manmohan Singh
MSS222,2.4383616,9.944185,9.600234,2005,0,Manmohan Singh
MSS223,1.9384404,8.464812,7.187847,2005,2,Manmohan Singh
MSS224,2.6137345,7.8109016,10.209965,2005,1,Manmohan Singh
MSS225,2.5199153,9.993688,7.8148475,2005,0,Manmohan Singh
MSS226,2.5663307,7.9119096,9.061139,2005,1,Manmohan Singh
MSS227,1.5268999,9.542816,9.957662,2005,0,Manmohan Singh
MSS228,1.5288626,7.853771,9.289131,2005,1,Manmohan Singh
MSS229,2.1930122,8.871463,10.596832,2005,2,Manmohan Singh
